kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
驚,22,1141,junior high,N1,"{'勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '夂': 'http:////jisho.org/search/%E5%A4%82%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji', '攵': 'http:////jisho.org/search/%E6%94%B5%20%23kanji', '杰': 'http:////jisho.org/search/%E6%9D%B0%20%23kanji', '馬': 'http:////jisho.org/search/%E9%A6%AC%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'馬': 'horse'},{'キョウ': 'http:////jisho.org/search/%E9%A9%9A%20%E3%81%8D%E3%82%87%E3%81%86'},"{'おどろ.く': 'http:////jisho.org/search/%E9%A9%9A%20%E3%81%8A%E3%81%A9%E3%82%8D%E3%81%8F', 'おどろ.かす': 'http:////jisho.org/search/%E9%A9%9A%20%E3%81%8A%E3%81%A9%E3%82%8D%E3%81%8B%E3%81%99'}","['驚異  【キョウイ】  wonder, miracle, amazement, prodigy', '驚愕  【キョウガク】  astonishment, amazement, surprise, fright, shock', '一驚  【イッキョウ】  surprise, amazement', '吃驚  【キッキョウ】  surprise']","['驚く  【おどろく】  to be surprised, to be astonished', '驚くほど  【おどろくほど】  to a surprising degree, to a remarkable extent, surprisingly, astonishingly, amazingly, alarmingly', '驚かす  【おどろかす】  to surprise, to frighten, to create a stir']"
仰,6,1573,junior high,N1,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '卩': 'http:////jisho.org/search/%E5%8D%A9%20%23kanji'}","{'人 (亻)': 'man, human'}","{'ギョウ': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%8E%E3%82%87%E3%81%86', 'コウ': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%93%E3%81%86'}","{'あお.ぐ': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%82%E3%81%8A%E3%81%90', 'おお.せ': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%8A%E3%81%8A%E3%81%9B', 'お.っしゃる': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%8A%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B', 'おっしゃ.る': 'http:////jisho.org/search/%E4%BB%B0%20%E3%81%8A%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B'}","['仰天  【ギョウテン】  being amazed, being horrified, being taken aback', '仰角  【ギョウカク】  angle of elevation', '大仰  【オオギョウ】  exaggeration', '景仰  【ケイコウ】  adoration, admiration, reverence', '景仰  【ケイコウ】  adoration, admiration, reverence', '欽仰  【キンギョウ】  reverence, adoration, veneration']","['仰ぐ  【あおぐ】  to look up (at), to look up to, to respect, to revere, to ask for (e.g. guidance), to seek, to turn to (someone) for, to depend on, to rely on, to gulp down, to quaff, to drink', '仰せ  【おおせ】  statement, command, wishes (of a superior)', '仰せ言  【おおせごと】  statement, order', '仰る  【おっしゃる】  to say, to speak, to tell, to talk', 'おっしゃる通り  【おっしゃるとおり】  I agree with you, it is as (someone) says', '仰る  【おっしゃる】  to say, to speak, to tell, to talk', 'おっしゃる通り  【おっしゃるとおり】  I agree with you, it is as (someone) says']"
暁,12,1924,junior high,N1,"{'儿': 'http:////jisho.org/search/%E5%84%BF%20%23kanji', '十': 'http:////jisho.org/search/%E5%8D%81%20%23kanji', '廾': 'http:////jisho.org/search/%E5%BB%BE%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji'}","{'日': 'sun, day'}","{'ギョウ': 'http:////jisho.org/search/%E6%9A%81%20%E3%81%8E%E3%82%87%E3%81%86', 'キョウ': 'http:////jisho.org/search/%E6%9A%81%20%E3%81%8D%E3%82%87%E3%81%86'}","{'あかつき': 'http:////jisho.org/search/%E6%9A%81%20%E3%81%82%E3%81%8B%E3%81%A4%E3%81%8D', 'さと.る': 'http:////jisho.org/search/%E6%9A%81%20%E3%81%95%E3%81%A8%E3%82%8B'}","['暁星  【ギョウセイ】  morning star, Venus, rarity', '暁鴉  【ギョウア】  crow cawing in the morning, crows crying in the morning', '早暁  【ソウギョウ】  daybreak, dawn', '通暁  【ツウギョウ】  well versed, thorough knowledge', '寒暁  【カンギョウ】  cold winter dawn']","['暁  【あかつき】  dawn, daybreak, event (e.g. ""in the event of ...""), occasion, occurrence', '暁起き  【あかつきおき】  waking up just before daybreak']"
業,13,43,grade 3,N4,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji', '王': 'http:////jisho.org/search/%E7%8E%8B%20%23kanji', '羊': 'http:////jisho.org/search/%E7%BE%8A%20%23kanji', '耒': 'http:////jisho.org/search/%E8%80%92%20%23kanji'}",{'木': 'tree'},"{'ギョウ': 'http:////jisho.org/search/%E6%A5%AD%20%E3%81%8E%E3%82%87%E3%81%86', 'ゴウ': 'http:////jisho.org/search/%E6%A5%AD%20%E3%81%94%E3%81%86'}",{'わざ': 'http:////jisho.org/search/%E6%A5%AD%20%E3%82%8F%E3%81%96'},"['業  【ギョウ】  work, business, company, agency, study', '業界  【ギョウカイ】  business world, business circles, (the) industry', '鉱業  【コウギョウ】  mining industry', '興業  【コウギョウ】  industrial enterprise', ""業  【ゴウ】  karma, result of one's karma, fate, destiny, uncontrollable temper"", '業因  【ゴウイン】  karma', '罪業  【ザイゴウ】  sin, iniquity, crime', '正業  【ショウゴウ】  right action, correct meditative activity (in Jodo, saying the name of Amitabha)']","['業  【わざ】  deed, act, work, performance', '業師  【わざし】  tricky wrestler, shrewd fellow', '寝技  【ねわざ】  pinning technique (in wrestling or judo), underhanded dealings', '投げ技  【なげわざ】  throw or throwing technique (sumo, judo)']"
凝,16,1712,junior high,N1,"{'冫': 'http:////jisho.org/search/%E5%86%AB%20%23kanji', '匕': 'http:////jisho.org/search/%E5%8C%95%20%23kanji', 'マ': 'http:////jisho.org/search/%E3%83%9E%20%23kanji', '疋': 'http:////jisho.org/search/%E7%96%8B%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'冫': 'ice'},{'ギョウ': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%8E%E3%82%87%E3%81%86'},"{'こ.る': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%93%E3%82%8B', 'こ.らす': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%93%E3%82%89%E3%81%99', 'こご.らす': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%93%E3%81%94%E3%82%89%E3%81%99', 'こご.らせる': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%93%E3%81%94%E3%82%89%E3%81%9B%E3%82%8B', 'こご.る': 'http:////jisho.org/search/%E5%87%9D%20%E3%81%93%E3%81%94%E3%82%8B'}","['凝縮  【ギョウシュク】  condensation (of ideas, emotions, etc.), condensation (of a vapour or gas)', '凝固  【ギョウコ】  coagulation, freezing, solidification']","['凝る  【こる】  to grow stiff, to be absorbed in, to be devoted to, to be a fanatic, to elaborate', '凝らす  【こらす】  to concentrate, to devote, to apply, to strain, to rack', ""凝らす  【こごらす】  to freeze, to congeal, to concentrate one's attention on, to devote oneself to something, to ponder, to meditate"", '凝らせる  【こごらせる】  to freeze, to congeal', '凝る  【こごる】  to congeal, to freeze']"
曲,6,810,grade 3,N3,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji'}",{'曰': 'say'},{'キョク': 'http:////jisho.org/search/%E6%9B%B2%20%E3%81%8D%E3%82%87%E3%81%8F'},"{'ま.がる': 'http:////jisho.org/search/%E6%9B%B2%20%E3%81%BE%E3%81%8C%E3%82%8B', 'ま.げる': 'http:////jisho.org/search/%E6%9B%B2%20%E3%81%BE%E3%81%92%E3%82%8B', 'くま': 'http:////jisho.org/search/%E6%9B%B2%20%E3%81%8F%E3%81%BE'}","['曲  【キョク】  composition, piece of music, song, track (on a record), tune, melody, air, enjoyment, fun, interest, pleasure', '曲折  【キョクセツ】  windings, meanderings, complications, twists and turns', '歌謡曲  【カヨウキョク】  kayōkyoku, form of Japanese popular music that developed during the Showa era, (Western) pop song', '名曲  【メイキョク】  famous music']","['曲がる  【まがる】  to bend, to curve, to warp, to wind, to twist, to turn, to be awry, to be askew, to be crooked', '曲げる  【まげる】  to bend, to crook, to bow, to curve, to curl, to lean, to tilt, to incline, to slant, to bend (the truth), to distort, to twist, to pervert, to yield (a point), to depart (from a principle), to ignore (what one really thinks), to pawn', ""隈  【くま】  corner, nook, recess, shadow, shade, dark circles (e.g. around one's eyes)""]"
局,7,286,grade 3,N3,"{'口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji'}",{'尸': 'corpse'},{'キョク': 'http:////jisho.org/search/%E5%B1%80%20%E3%81%8D%E3%82%87%E3%81%8F'},{'つぼね': 'http:////jisho.org/search/%E5%B1%80%20%E3%81%A4%E3%81%BC%E3%81%AD'},"['局  【キョク】  bureau, department, office (e.g. post, telephone), broadcasting station (e.g. television, radio), channel, exchange, affair, situation, game (of go, shogi, etc.)', '局員  【キョクイン】  clerk, (bureau, post-office) staff', ""医局  【イキョク】  medical office (esp. in a hospital), doctor's office"", '開局  【カイキョク】  opening (of a broadcasting station, post office, bureau, etc.), establishment']","['局  【つぼね】  court lady, lady-in-waiting (Heian period), separate room in a palace (esp. for a lady) (Heian period), room for a very low class prostitute, very low class prostitute', '局女郎  【つぼねじょろう】  prostitute of the lowest class (Edo period)', '御局  【おつぼね】  court lady with her own private chamber or office, low-class prostitute (Edo period)']"
極,12,460,grade 4,N2,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '又': 'http:////jisho.org/search/%E5%8F%88%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji'}",{'木': 'tree'},"{'キョク': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%87%E3%81%8F', 'ゴク': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%94%E3%81%8F'}","{'きわ.める': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%8F%E3%82%81%E3%82%8B', 'きわ.まる': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%8F%E3%81%BE%E3%82%8B', 'きわ.まり': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%8F%E3%81%BE%E3%82%8A', 'きわ.み': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%8F%E3%81%BF', 'き.める': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%82%81%E3%82%8B', '-ぎ.め': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8E%E3%82%81', 'き.まる': 'http:////jisho.org/search/%E6%A5%B5%20%E3%81%8D%E3%81%BE%E3%82%8B'}","['極  【キョク】  pole, climax, extreme, extremity, culmination, height, zenith, nadir', '極右  【キョクウ】  far right (in politics), extreme right, ultraconservative', '消極  【ショウキョク】  negative, conservative, depolarization', '対極  【タイキョク】  antipodes, other (opposite) extreme, opposite, antithesis', '極  【ゴク】  quite, very, 10^48, quindecillion', '極秘  【ゴクヒ】  absolute secrecy', '極極  【ゴクゴク】  extremely, highly', '失礼至極  【シツレイシゴク】  extremely rude, impertinent, impolite']","['極める  【きわめる】  to carry to extremes, to go to the end of something, to investigate thoroughly, to master', '極まる  【きわまる】  to reach an extreme, to reach a limit, to terminate, to come to an end, extremely, to be stuck, to be in a dilemma, to be at a loss, to be decided, to be settled', '極まり  【きわまり】  extremity, end, bound, limit', '極まりない  【きわまりない】  extremely, in the extreme, knows no bounds (e.g. rudeness), unparalleled, boundless (e.g. universe, ocean), limitless', '極み  【きわみ】  height, acme, extremity, peak, end, limit', ""決める  【きめる】  to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix, to clinch (a victory), to decide (the outcome of a match), to persist in doing, to go through with, to always do, to have made a habit of, to take for granted, to assume, to dress up, to dress to kill, to dress to the nines, to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing, to immobilize with a double-arm lock (in sumo, judo, etc.), to eat or drink something, to take illegal drugs"", '決まる  【きまる】  to be decided, to be settled, to look good in (clothes)']"
玉,5,737,grade 1,N2,"{'丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', '王': 'http:////jisho.org/search/%E7%8E%8B%20%23kanji'}",{'玉 (王)': 'jade (king)'},{'ギョク': 'http:////jisho.org/search/%E7%8E%89%20%E3%81%8E%E3%82%87%E3%81%8F'},"{'たま': 'http:////jisho.org/search/%E7%8E%89%20%E3%81%9F%E3%81%BE', 'たま-': 'http:////jisho.org/search/%E7%8E%89%20%E3%81%9F%E3%81%BE', '-だま': 'http:////jisho.org/search/%E7%8E%89%20%E3%81%A0%E3%81%BE'}","['玉  【ギョク】  precious stone (esp. jade), egg (sometimes esp. as a sushi topping), stock or security being traded, product being bought or sold, position (in finance, the amount of a security either owned or owed by an investor or dealer), geisha, time charge for a geisha, king (of the junior player)', ""玉音  【ギョクオン】  the Emperor's voice, beautiful voice, beautiful sound"", '珠玉  【シュギョク】  gem, jewel, beautiful, accomplished, charming', '翠玉  【スイギョク】  emerald, jade']","['玉  【たま】  ball, sphere, globe, orb, bead (of sweat, dew, etc.), drop, droplet, ball (in sports), pile (of noodles, etc.), bullet, bulb (i.e. a light bulb), lens (of glasses, etc.), bead (of an abacus), ball (i.e. a testicle), gem, jewel (esp. spherical; sometimes used figuratively), pearl, female entertainer (e.g. a geisha), person (when commenting on their nature), character, item, funds or person used as part of a plot, egg, coin, precious, beautiful, excellent', '卵  【たまご】  eggs, egg, spawn, roe, hen egg, (an expert) in the making, beginning, origin, infancy', '埼玉  【さいたま】  Saitama (city)', '勾玉  【まがたま】  comma-shaped jewels']"
巾,3,,junior high,,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '冂': 'http:////jisho.org/search/%E5%86%82%20%23kanji', '巾': 'http:////jisho.org/search/%E5%B7%BE%20%23kanji'}","{'巾': 'turban, scarf'}","{'キン': 'http:////jisho.org/search/%E5%B7%BE%20%E3%81%8D%E3%82%93', 'フク': 'http:////jisho.org/search/%E5%B7%BE%20%E3%81%B5%E3%81%8F'}","{'おお.い': 'http:////jisho.org/search/%E5%B7%BE%20%E3%81%8A%E3%81%8A%E3%81%84', 'ちきり': 'http:////jisho.org/search/%E5%B7%BE%20%E3%81%A1%E3%81%8D%E3%82%8A', 'きれ': 'http:////jisho.org/search/%E5%B7%BE%20%E3%81%8D%E3%82%8C'}","['巾  【キン】  napkin, cloth', '巾単  【キンタン】  unipotent', '三角巾  【サンカクキン】  triangular bandage, sling, triangular kerchief, bandana, bandanna', '防災頭巾  【ボウサイズキン】  disaster hood, protective hood worn during earthquakes and other disasters (e.g. to protect from falling objects)']",
斤,4,,junior high,N1,{'斤': 'http:////jisho.org/search/%E6%96%A4%20%23kanji'},{'斤': 'axe'},,{'キン': 'http:////jisho.org/search/%E6%96%A4%20%E3%81%8D%E3%82%93'},"['斤  【キン】  kin, catty, traditional unit of weight, 600g, pound (unit of weight), loaf (of bread)', '斤量  【キンリョウ】  weight', '英斤  【エイキン】  pound (unit of weight)', '一斤  【イッキン】  1 kin (approx. 0.6kg), 1 loaf of bread']",
均,7,715,grade 5,N2,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '冫': 'http:////jisho.org/search/%E5%86%AB%20%23kanji', '勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}",{'土': 'earth'},{'キン': 'http:////jisho.org/search/%E5%9D%87%20%E3%81%8D%E3%82%93'},{'なら.す': 'http:////jisho.org/search/%E5%9D%87%20%E3%81%AA%E3%82%89%E3%81%99'},"['均衡  【キンコウ】  equilibrium, balance', '均一  【キンイツ】  uniformity, equality', '１００均  【ヒャッキン】  hundred-yen store, 100 yen shop', '移動平均  【イドウヘイキン】  moving average']","['均す  【ならす】  to make even, to make smooth, to make level, to flatten, to average']"
近,7,194,grade 2,N4,"{'込': 'http:////jisho.org/search/%E8%BE%BC%20%23kanji', '斤': 'http:////jisho.org/search/%E6%96%A4%20%23kanji'}","{'辵 (辶, ⻌, ⻍)': 'walk'}","{'キン': 'http:////jisho.org/search/%E8%BF%91%20%E3%81%8D%E3%82%93', 'コン': 'http:////jisho.org/search/%E8%BF%91%20%E3%81%93%E3%82%93'}",{'ちか.い': 'http:////jisho.org/search/%E8%BF%91%20%E3%81%A1%E3%81%8B%E3%81%84'},"['近畿  【キンキ】  Kinki (region around Osaka, Kyoto, Nara)', '近海  【キンカイ】  coastal waters, adjacent seas', 'ごく最近  【ゴクサイキン】  very recently, in the very recent past', '至近  【シキン】  very near', '近流  【コンル】  banishment (to a nearby province), the least severe of the three banishment punishments under the ritsuryo system']","['近い  【ちかい】  near, close, short (distance), close (in time), soon, close (relationship), friendly, intimate, closely related, similar, likeworthy, almost the same', '近いうちに  【ちかいうちに】  before long']"
金,8,53,grade 1,N5,"{'个': 'http:////jisho.org/search/%E4%B8%AA%20%23kanji', 'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '王': 'http:////jisho.org/search/%E7%8E%8B%20%23kanji', '金': 'http:////jisho.org/search/%E9%87%91%20%23kanji'}","{'金 (釒)': 'metal, gold'}","{'キン': 'http:////jisho.org/search/%E9%87%91%20%E3%81%8D%E3%82%93', 'コン': 'http:////jisho.org/search/%E9%87%91%20%E3%81%93%E3%82%93', 'ゴン': 'http:////jisho.org/search/%E9%87%91%20%E3%81%94%E3%82%93'}","{'かね': 'http:////jisho.org/search/%E9%87%91%20%E3%81%8B%E3%81%AD', 'かな-': 'http:////jisho.org/search/%E9%87%91%20%E3%81%8B%E3%81%AA', '-がね': 'http:////jisho.org/search/%E9%87%91%20%E3%81%8C%E3%81%AD'}","['金  【キン】  gold (Au), golden (color), gold (medal, cup), valuable, of highest value, money, gold coin, Friday, metal (fourth of the five elements), Jin dynasty (China, 1115-1234), Chin dynasty, Jurchen dynasty, gold general, testicles, karat, carat', '金色  【キンイロ】  golden (colour, color)', '集金  【シュウキン】  money collection', '納金  【ノウキン】  payment', '金色  【キンイロ】  golden (colour, color)', ""金剛  【コンゴウ】  vajra (indestructible substance), diamond, adamantine, thunderbolt, Indra's weapon, Buddhist symbol of the indestructible truth"", '鬱金  【ウコン】  turmeric (Curcuma domestica)', '葛鬱金  【クズウコン】  arrowroot (Maranta arundinacea)', '漉油  【コシアブラ】  Acanthopanax sciadophylloides (species of flowering plant related to the aralias)']","['金  【かね】  money, metal', '金持ち  【かねもち】  rich person', '細かい金  【こまかいかね】  small change', '汚れた金  【よごれたかね】  dirty money']"
菌,11,1586,junior high,N1,"{'囗': 'http:////jisho.org/search/%E5%9B%97%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}",{'艸 (艹)': 'grass'},,{'キン': 'http:////jisho.org/search/%E8%8F%8C%20%E3%81%8D%E3%82%93'},"['菌  【キン】  fungus, germ, bacterium, bacillus', '菌類  【キンルイ】  fungus, fungi', '球菌  【キュウキン】  coccus', '抗菌  【コウキン】  antibacterial, antimicrobial']",
